code_site,code_station
U0124010,U012401001
U0230010,U023001001
U0415010,U041501001
U0444310,U044431001
U0474010,U047401001
U0504010,U050401001
U0515010,U051501001
U0525010,U052501001
U0610010,U061001001
U0620530,U062053002
U0635010,U063501001
U0724010,U072401001
U0815010,U081501001
U0924010,U092401001
U0924020,U092402001
U1025010,U102501001
U1035410,U103541001
U1044010,U104401001
U1054010,U105401001
U1084010,U108401001
U1109010,U110901001
U1115210,U111521001
U1204010,U120401001
U1224010,U122401001
U1244040,U124404001
U1314010,U131401001
U1324010,U132401001
U1334010,U133401001
U1415030,U141503001
U1415410,U141541001
U1416410,U141641001
U1420010,U142001001
U2002010,U200201001
U2012010,U201201001
U2022010,U202201001
U2122010,U212201001
U2142010,U214201001
U2215020,U221502001
U2222010,U222201001
U2324210,U232421001
U2334020,U233402001
U2345020,U234502001
U2345030,U234503001
U2354010,U235401001
U2356610,U235661001
U2512010,U251201001
U2565020,U256502001
U2615830,U261583002
U2634010,U263401001
U2635010,U263501001
U2655030,U265503001
U2722010,U272201001
U3014010,U301401001
U3214010,U321401001
U3404030,U340403001
U3415020,U341502001
U3424010,U342401001
U3434320,U343432001
U3445020,U344502001
U3446410,U344641001
U3455030,U345503001
U4014010,U401401001
U4014020,U401402001
U4204010,U420401001
U4216010,U421601001
U4234020,U423402001
U4235010,U423501001
U4300010,U430001001
U4405010,U440501001
U4405020,U440502001
U4505010,U450501001
U4506010,U450601001
U4525210,U452521001
U4624010,U462401001
U4625010,U462501001
U4635010,U463501001
U4636610,U463661001
U4644010,U464401001
V0002010,V000201001
V0032010,V003201001
V0032012,V003201201
V0155010,V015501002
V0205010,V020501002
V0205420,V020542001
V0235020,V023502001
V0245610,V024561001
V0314010,V031401002
V0325010,V032501001
V0334010,V033401001
V0345210,V034521001
V0355010,V035501001
V0415010,V041501001
V0415040,V041504001
V1015010,V101501001
V1015030,V101503001
V1015810,V101581001
V1015820,V101582001
V1020020,V102002001
V1114010,V111401001
V1214010,V121401001
V1225010,V122501001
V1235210,V123521001
V1235420,V123542001
V1235610,V123561001
V1237410,V123741001
V1255010,V125501001
V1257810,V125781001
V1258410,V125841001
V1305210,V130521001
V1315020,V131502001
V1315040,V131504003
V1318210,V131821001
V1318239,V131823901
V1325020,V132502002
V1414010,V141401001
V1425010,V142501001
V1446210,V144621001
V1454310,V145431002
V1464310,V146431001
V1504010,V150401002
V1515010,V151501001
V1725020,V172502001
V1734010,V173401001
V1735010,V173501001
V1774010,V177401001
V2012010,V201201001
V2206010,V220601001
V2414030,V241403001
V2420560,V242056001
V2444020,V244402001
V2515010,V251501002
V2712010,V271201001
V2814030,V281403001
V2814040,V281404003
V2924010,V292401001
V2934010,V293401001
V2942010,V294201001
V2945210,V294521001
V3005610,V300561001
V3015010,V301501002
V3015020,V301502002
V3114010,V311401001
V3124010,V312401001
V3215010,V321501001
V3225420,V322542002
V3315010,V331501002
V3335010,V333501001
V3404310,V340431001
V3424310,V342431001
V3434010,V343401001
V3517010,V351701001
V3517013,V351701301
V3524010,V352401001
V3614010,V361401001
V3724010,V372401001
V3744010,V374401001
V4015030,V401503001
V4025010,V402501001
V4034010,V403401001
V4145210,V414521001
V4145211,V414521101
V4174021,V417402101
V4214010,V421401001
V4225010,V422501001
V4264010,V426401001
V4275010,V427501001
V4275910,V427591001
V4287010,V428701001
V4300001,V430000101
V4414010,V441401001
V4455010,V445501001
V4530010,V453001001
V5004030,V500403001
V5014010,V501401001
V5014030,V501403001
V5014040,V501404001
V5035022,V503502201
V5046610,V504661001
